estimator_type,n_features,trajectory_length,process_variance,measurement_variance,loss_name,loss_in_dB,loss_std_in_dB,state_loss_in_dB,state_loss_std_in_dB,data_config,training_config,data_name,model_name,time,train_random_variance,test_random_variance
ExtendedKalmanFilter,1,250,0.0001,1.0,defMSE,-0.8298877279710948,2.016744657698541,[ -5.30766178   4.66992775 -16.38498762 -12.53334691],[1.25537976 2.12654626 0.76988192 1.1528264 ],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2022-12-21T18:55:44,None,None
ExtendedKalmanFilter,1,250,0.0001,0.1,defMSE,-6.157713624906599,2.0494178850005476,[-13.81041154  -0.59896569 -17.96433525 -13.95949037],[0.87816231 2.14671299 0.7760472  1.69016571],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2022-12-21T18:57:41,None,None
ExtendedKalmanFilter,1,250,0.0001,0.01,defMSE,-9.50291245269814,2.2124776196304783,[-21.74545126  -4.07115216 -18.92410121 -14.27512973],[0.56123303 2.28402828 1.4993987  2.13025979],"DataConfig(config_name='len250_r1e-2', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.01, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]",2022-12-21T18:59:36,None,None
ExtendedKalmanFilter,1,250,0.0001,0.001,defMSE,-10.681362979130018,2.4356951059056744,[-30.08493958  -5.27010331 -20.09219276 -14.68658558],[1.09454353 2.49803942 1.84472821 2.25566958],"DataConfig(config_name='len250_r1e-3', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.001, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]",2022-12-21T19:01:32,None,None
KalmanNetNN,1,250,0.0001,1.0,defMSE,-8.034943492675609,1.6345131823528023,[ -8.83146553  -3.56335681 -20.24820847 -13.15658323],[1.01092895 2.00421023 2.33334957 0.98159621],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=1e-05)","data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-05_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-01T21:55:13,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,1.0,defMSE,-7.0375958817168165,1.6195762607410673,[ -8.31536713  -2.33667367 -16.12488106 -14.49302929],[1.01185924 1.92510545 3.11917293 1.31809425],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_lr5e-4', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.0005, weight_decay=1e-05)","data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr5e-04_wd1e-05_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-01T22:40:00,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,1.0,defMSE,-7.830933661832747,1.6438404857761375,[ -9.06892799  -3.00946756 -17.1403616  -18.01368107],[1.13693047 1.89658271 2.635828   1.52750214],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_wd1e-6', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=1e-06)","data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-06_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-01T23:24:49,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,1.0,defMSE,-8.666069149183416,1.714423122953372,[ -9.62687706  -3.98252961 -19.3009996  -16.31008861],[1.3819675  1.99235813 2.99638812 2.66414219],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_wd1e-4', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=0.0001)","data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-04_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T00:09:54,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,0.1,defMSE,-10.362835456793935,1.539683976408881,[-15.2032946   -5.37010833 -14.20375023 -20.27715422],[1.1094645  1.76374734 2.5794488  1.99566686],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=1e-05)","data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-05_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T00:54:58,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,0.1,defMSE,-5.767453323932528,3.6152645511735013,[-13.46239834  -0.56000064 -11.82859584 -11.5300421 ],[2.31867062 3.68051214 4.18096266 3.66051157],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_lr5e-4', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.0005, weight_decay=1e-05)","data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr5e-04_wd1e-05_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T12:23:13,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,0.1,defMSE,-10.661692521978807,2.447064602330899,[-14.85755661  -6.0098161  -16.44862671 -14.25746195],[0.59421731 2.76262304 3.03184611 1.85320938],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_wd1e-6', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=1e-06)","data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-06_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T13:06:35,"[4, 4, 1, 1]",None
KalmanNetNN,1,250,0.0001,0.1,defMSE,-10.818251009546717,0.6054258658457368,[-14.37914568  -6.01180389 -17.53369271 -15.73887888],[0.54331991 0.70385428 3.79437863 0.75467906],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))","TrainingConfig(config_name='default_wd1e-4', n_epochs=100, loss='MSE', train_size=4000, val_size=1000, test_size=10000, learning_rate=0.001, weight_decay=0.0001)","data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","KalmanNetNN_lossMSE_ep100_train4000_val1000_test10000_lr1e-03_wd1e-04_ri[4, 4, 1, 1]_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T13:49:31,"[4, 4, 1, 1]",None
IdentityEstimator,1,250,0.0001,1.0,posMSE,-0.06494087569532453,0.34994065720299244,[-0.06494088  9.71215221  9.09436614  4.10762801],[0.34994066 2.02764969 1.23126782 1.58002967],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T16:00:52,None,None
IdentityEstimator,1,250,0.0001,0.1,posMSE,-10.1875663529815,0.4112592810991966,[-10.18756635   9.26488855   8.55936921   2.19772666],[0.41125928 2.20761515 1.34844362 2.11735761],"DataConfig(config_name='len250_r1e-1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.1, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-01_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T16:00:52,None,None
IdentityEstimator,1,250,0.0001,0.01,posMSE,-19.897978966074053,0.422312231963474,[-19.89797897   9.22430937   8.51473899   2.00677319],[0.42231223 2.2258847  1.36246632 2.20717473],"DataConfig(config_name='len250_r1e-2', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.01, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-02_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T16:00:52,None,None
IdentityEstimator,1,250,0.0001,0.001,posMSE,-30.063003950608245,0.3270195247354444,[-30.06300395   9.21884753   8.51568808   1.9757408 ],[0.32701952 2.22729014 1.36763223 2.21474968],"DataConfig(config_name='len250_r1e-3', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=0.001, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e-03_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-02T16:00:52,None,None
ExtendedKalmanFilter,1,250,0.0001,1.0,velMSE,4.669927747360079,2.1265462570863924,[ -5.30766178   4.66992775 -16.38498762 -12.53334691],[1.25537976 2.12654626 0.76988192 1.1528264 ],"DataConfig(config_name='len250_r1', generate=False, from_config=None, save_info=PathConfig(name='data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]', path='data/single_obs'), process_var=0.0001, measurement_var=1.0, sample_rate=0.1, max_taylor_coefficient=5, train_set=DataSetConfig(batch_size=200, trajectory_length=250), val_set=DataSetConfig(batch_size=40, trajectory_length=250), test_set=DataSetConfig(batch_size=40, trajectory_length=250))",None,"data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]","ExtendedKalmanFilter_data_sr1e-01_q1e-04_r1e+00_j5_train[200,250]_val[40,250]_test[40,250]",2023-01-03T12:16:18,None,None
